Total.Enrollment,Grade.PK,Grade.K,Grade.1,Grade.2,Grade.3,Grade.4,Grade.5,Grade.6,Grade.7,Grade.8,Grade.9,Grade.10,Grade.11,Grade.12,Female,Male,Asian,Black,Hispanic,Others,White,Disabled.Students,English.Learners,Poverty
303,33,68,63,54,38,47,0,0,0,0,0,0,0,0,138,165,1,99,188,6,9,67,70,291
342,32,55,68,56,45,41,45,0,0,0,0,0,0,0,160,182,1,110,220,3,8,75,65,326
356,33,60,49,64,61,49,40,0,0,0,0,0,0,0,174,182,3,115,226,4,8,68,61,315
314,35,43,49,41,41,49,56,0,0,0,0,0,0,0,151,163,0,56,247,1,10,101,133,310
270,24,45,45,42,29,38,47,0,0,0,0,0,0,0,131,139,0,37,230,0,3,87,123,269
253,24,39,39,48,39,27,37,0,0,0,0,0,0,0,120,133,0,45,206,0,2,83,119,250
237,24,29,38,39,44,35,28,0,0,0,0,0,0,0,114,123,0,41,192,2,2,72,107,231
261,41,37,30,36,34,43,40,0,0,0,0,0,0,0,120,141,0,50,203,4,4,86,97,254
184,0,0,0,0,0,0,0,0,0,0,17,75,61,31,121,63,1,57,117,3,6,29,8,121
190,0,0,0,0,0,0,0,0,0,0,20,46,58,66,121,69,2,60,122,2,4,35,10,135
199,0,0,0,0,0,0,0,0,0,0,10,58,55,76,117,82,1,71,123,2,2,50,13,131
216,0,0,0,0,0,0,0,0,0,0,25,76,58,57,133,83,3,74,135,3,1,56,21,153
218,0,0,0,0,0,0,0,0,0,0,29,75,55,59,115,103,3,76,135,2,2,58,20,184
172,0,0,0,0,0,0,0,0,0,0,28,58,51,35,97,75,5,51,114,0,2,44,9,131
173,0,0,0,0,0,0,0,0,0,0,35,75,37,26,93,80,5,50,117,0,1,35,6,135
183,0,0,0,0,0,0,0,0,0,0,25,60,36,62,88,95,2,54,126,0,1,41,11,139
192,0,0,0,0,0,0,0,0,0,0,25,70,48,49,92,100,3,62,126,0,1,46,10,158
192,0,0,0,0,0,0,0,0,0,0,30,77,52,33,93,99,2,69,121,0,0,44,13,166
335,0,0,0,0,0,0,0,0,0,0,120,90,50,75,175,160,4,83,246,1,1,76,33,294
324,0,0,0,0,0,0,0,0,0,0,110,100,57,57,178,146,5,96,219,0,4,81,32,294
326,0,0,0,0,0,0,0,0,0,0,101,93,69,63,175,151,2,91,228,1,4,87,36,293
305,0,0,0,0,0,0,0,0,0,0,82,89,70,64,155,150,1,75,224,2,3,81,42,287
330,0,0,0,0,0,0,0,0,0,0,115,80,77,58,166,164,0,90,233,2,5,96,48,302
344,0,0,0,0,0,0,0,0,0,0,92,112,66,74,152,192,1,79,260,2,2,74,28,325
364,0,0,0,0,0,0,0,0,0,0,100,110,70,84,161,203,0,93,269,1,1,79,35,348
380,0,0,0,0,0,0,0,0,0,0,125,110,70,75,162,218,1,98,278,2,1,101,58,363
397,0,0,0,0,0,0,0,0,0,0,140,117,63,77,187,210,2,104,285,3,3,106,66,376
358,0,0,0,0,0,0,0,0,0,0,114,119,56,69,160,198,2,88,259,6,3,102,71,329
466,0,0,0,0,0,0,0,0,0,0,125,126,120,95,258,208,11,124,325,1,5,40,15,420
486,0,0,0,0,0,0,0,0,0,0,113,136,125,112,264,222,15,146,315,3,7,40,10,438
482,0,0,0,0,0,0,0,0,0,0,127,111,128,116,262,220,13,139,316,7,7,64,10,437
467,0,0,0,0,0,0,0,0,0,0,126,112,110,119,267,200,12,122,315,9,9,82,11,425
491,0,0,0,0,0,0,0,0,0,0,146,131,112,102,284,207,22,125,320,15,9,90,15,423
537,0,0,0,0,0,0,0,73,66,55,101,95,71,76,285,252,21,112,393,8,3,87,36,421
544,0,0,0,0,0,0,0,72,68,62,89,99,79,75,290,254,16,112,399,9,8,100,25,426
520,0,0,0,0,0,0,0,50,68,65,87,88,86,76,271,249,13,95,396,10,6,99,25,417
527,0,0,0,0,0,0,0,58,49,68,91,101,82,78,283,244,16,105,392,8,6,104,25,423
508,0,0,0,0,0,0,0,48,59,57,95,91,83,75,270,238,11,112,374,4,7,111,22,434
429,0,0,0,0,0,0,0,0,0,0,187,147,93,2,68,361,6,118,301,2,2,109,69,399
563,0,0,0,0,0,0,0,0,0,0,220,165,103,75,107,456,8,135,397,4,19,142,80,517
577,0,0,0,0,0,0,0,0,0,0,204,175,101,97,113,464,8,141,407,5,16,154,85,537
561,0,0,0,0,0,0,0,0,0,0,221,150,95,95,109,452,8,128,401,7,17,159,93,518
504,0,0,0,0,0,0,0,0,0,0,205,130,89,80,92,412,4,142,342,8,8,141,87,420
515,0,0,0,0,0,0,0,0,0,0,146,149,104,116,215,300,10,181,311,9,4,117,73,475
495,0,0,0,0,0,0,0,0,0,0,135,144,109,107,206,289,11,159,315,6,4,132,69,447
504,0,0,0,0,0,0,0,0,0,0,146,146,105,107,213,291,11,146,337,6,4,136,80,461
500,0,0,0,0,0,0,0,0,0,0,161,149,105,85,198,302,9,134,343,7,7,131,89,459
513,0,0,0,0,0,0,0,0,0,0,168,151,118,76,221,292,5,141,354,6,7,137,89,484
463,0,0,0,0,0,0,0,0,0,0,165,136,104,58,233,230,1,142,316,2,2,114,55,434
475,0,0,0,0,0,0,0,0,0,0,168,146,74,87,241,234,1,151,319,3,1,124,49,407
426,0,0,0,0,0,0,0,0,0,0,174,122,68,62,243,183,3,121,296,0,6,124,44,355
403,0,0,0,0,0,0,0,0,0,0,160,116,61,66,232,171,2,112,287,0,2,121,55,335
314,0,0,0,0,0,0,0,0,0,0,101,104,59,50,182,132,2,91,219,1,1,92,46,274
575,0,0,0,0,0,0,0,0,0,0,155,156,138,126,85,490,1,164,398,6,6,136,33,497
587,0,0,0,0,0,0,0,0,0,0,168,159,138,122,98,489,1,167,411,1,7,137,42,524
592,0,0,0,0,0,0,0,0,0,0,173,150,134,135,92,500,3,170,406,0,13,147,61,512
560,0,0,0,0,0,0,0,0,0,0,170,153,121,116,102,458,4,168,378,0,10,137,57,492
515,0,0,0,0,0,0,0,0,0,0,149,151,122,93,106,409,5,150,348,2,10,122,62,457
584,0,0,0,0,0,0,0,103,75,80,77,86,83,80,319,265,4,170,401,3,6,130,77,536
591,0,0,0,0,0,0,0,85,98,76,98,89,73,72,301,290,5,184,388,1,13,149,80,553
600,0,0,0,0,0,0,0,83,81,91,99,99,77,70,314,286,4,181,399,3,13,169,82,540
592,0,0,0,0,0,0,0,90,80,81,108,91,66,76,299,293,4,183,385,2,18,176,76,546
590,0,0,0,0,0,0,0,88,87,79,87,110,68,71,292,298,2,196,371,4,17,181,83,530
202,0,0,0,0,0,0,0,0,0,0,65,80,57,0,95,107,2,78,122,0,0,57,16,147
249,0,0,0,0,0,0,0,0,0,0,64,83,102,0,121,128,2,80,163,0,4,71,12,155
242,0,0,0,0,0,0,0,0,0,0,0,83,70,89,118,124,0,75,156,1,10,70,12,161
242,0,0,0,0,0,0,0,0,0,0,0,108,65,69,107,135,0,65,172,1,4,73,18,159
232,0,0,0,0,0,0,0,0,0,0,0,93,71,68,99,133,0,64,159,2,7,71,18,193
390,0,0,0,0,0,0,0,0,0,0,125,82,56,127,22,368,3,128,257,1,1,112,62,348
375,0,0,0,0,0,0,0,0,0,0,147,115,54,59,24,351,3,110,257,2,3,106,72,340
415,0,0,0,0,0,0,0,0,0,0,157,118,71,69,40,375,4,100,302,4,5,117,97,371
444,0,0,0,0,0,0,0,0,0,0,154,116,95,79,48,396,3,105,327,3,6,127,100,399
463,0,0,0,0,0,0,0,0,0,0,157,111,111,84,51,412,4,106,344,2,7,133,110,432
577,0,0,0,0,0,0,0,0,0,0,199,182,107,89,387,190,16,206,341,7,7,108,65,514
554,0,0,0,0,0,0,0,0,0,0,202,172,84,96,361,193,17,202,319,7,9,107,43,506
554,0,0,0,0,0,0,0,0,0,0,190,160,103,101,340,214,14,188,330,12,10,113,50,479
461,0,0,0,0,0,0,0,0,0,0,133,136,101,91,278,183,9,162,272,10,8,98,55,405
491,0,0,0,0,0,0,0,0,0,0,141,127,112,111,303,188,9,191,274,8,9,111,59,416
607,0,96,100,94,101,113,103,0,0,0,0,0,0,0,274,333,15,29,382,2,179,138,32,386
612,0,110,95,95,94,102,116,0,0,0,0,0,0,0,293,319,18,30,397,7,160,143,28,407
599,0,91,99,107,93,99,110,0,0,0,0,0,0,0,285,314,23,33,392,8,143,134,31,371
576,0,72,93,107,111,93,100,0,0,0,0,0,0,0,283,293,28,30,384,11,123,124,35,356
547,0,74,68,96,114,106,89,0,0,0,0,0,0,0,282,265,20,30,374,10,113,109,36,369
704,35,126,131,109,106,98,99,0,0,0,0,0,0,0,340,364,116,77,475,17,19,144,81,478
789,54,154,128,121,117,112,103,0,0,0,0,0,0,0,376,413,122,81,532,23,31,162,101,544
777,54,122,140,116,118,113,114,0,0,0,0,0,0,0,354,423,144,88,501,20,24,157,120,508
743,54,104,129,123,108,114,111,0,0,0,0,0,0,0,358,385,175,72,453,20,23,140,119,483
760,54,119,124,132,110,105,116,0,0,0,0,0,0,0,367,393,186,70,458,21,25,140,89,586
855,89,148,140,144,99,118,117,0,0,0,0,0,0,0,417,438,1,228,607,8,11,227,125,769
873,83,172,124,130,135,112,117,0,0,0,0,0,0,0,432,441,5,217,635,7,9,230,154,756
824,72,142,144,118,116,128,104,0,0,0,0,0,0,0,388,436,8,218,585,4,9,235,148,706
815,78,112,129,129,119,115,133,0,0,0,0,0,0,0,411,404,7,214,578,5,11,239,146,692
697,59,113,83,113,113,113,103,0,0,0,0,0,0,0,338,359,8,174,505,2,8,191,146,644
766,54,132,139,122,118,99,102,0,0,0,0,0,0,0,354,412,2,162,582,4,16,190,68,742
798,54,131,151,133,115,111,103,0,0,0,0,0,0,0,364,434,2,175,595,5,21,207,89,772
788,54,130,137,128,115,109,115,0,0,0,0,0,0,0,341,447,2,156,604,5,21,228,87,764
695,52,87,120,122,109,108,97,0,0,0,0,0,0,0,313,382,1,123,549,4,18,205,83,686
708,51,88,100,118,123,116,112,0,0,0,0,0,0,0,313,395,1,141,547,4,15,193,93,697
589,36,104,111,87,93,74,84,0,0,0,0,0,0,0,319,270,12,100,465,6,6,128,51,534
604,54,107,102,87,84,94,76,0,0,0,0,0,0,0,312,292,12,95,485,5,7,133,63,538
622,53,106,97,100,86,84,96,0,0,0,0,0,0,0,310,312,10,100,500,5,7,145,49,552
605,54,87,107,89,101,83,84,0,0,0,0,0,0,0,296,309,9,91,490,6,9,145,47,542
621,54,82,88,113,92,97,95,0,0,0,0,0,0,0,303,318,18,97,493,6,7,127,63,552
1698,0,131,184,183,187,204,236,196,191,186,0,0,0,0,832,866,119,65,1029,17,468,370,94,1292
1693,0,134,184,197,193,209,198,210,183,185,0,0,0,0,814,879,116,69,1037,22,449,364,117,1273
1697,0,131,191,198,200,205,201,194,200,177,0,0,0,0,826,871,121,67,1053,18,438,343,125,1255
1695,0,114,181,200,198,221,211,191,185,194,0,0,0,0,827,868,131,79,1053,22,410,334,143,1269
1646,0,135,142,172,206,200,226,200,187,178,0,0,0,0,798,848,135,83,1028,25,375,322,180,1201
896,72,156,157,128,139,108,136,0,0,0,0,0,0,0,442,454,37,187,625,3,44,207,47,774
877,72,138,150,137,131,151,98,0,0,0,0,0,0,0,426,451,32,179,626,2,38,224,42,763
877,69,132,137,138,127,129,145,0,0,0,0,0,0,0,425,452,28,171,632,1,45,250,47,743
858,71,156,119,118,125,133,136,0,0,0,0,0,0,0,413,445,34,169,616,1,38,247,45,739
828,68,121,142,119,112,132,134,0,0,0,0,0,0,0,399,429,33,174,579,0,42,218,46,716
579,31,102,103,90,91,83,79,0,0,0,0,0,0,0,275,304,3,155,411,4,6,107,68,509
611,48,95,110,97,89,94,78,0,0,0,0,0,0,0,296,315,7,165,431,1,7,139,88,523
673,67,95,102,122,99,95,93,0,0,0,0,0,0,0,316,357,6,176,478,3,10,147,85,553
641,66,90,91,97,118,91,88,0,0,0,0,0,0,0,314,327,7,152,462,4,16,143,98,510
632,66,72,97,93,100,110,94,0,0,0,0,0,0,0,324,308,6,152,451,7,16,124,93,566
392,64,48,54,54,66,59,47,0,0,0,0,0,0,0,196,196,0,235,144,5,8,91,32,249
403,66,59,50,54,50,69,55,0,0,0,0,0,0,0,188,215,0,237,155,6,5,96,32,256
384,65,54,52,45,58,46,64,0,0,0,0,0,0,0,185,199,0,220,153,5,6,101,34,242
358,65,46,44,47,46,58,52,0,0,0,0,0,0,0,169,189,1,190,155,8,4,92,23,221
340,71,48,40,38,43,45,55,0,0,0,0,0,0,0,154,186,1,163,165,7,4,80,16,249
596,18,103,106,92,102,77,98,0,0,0,0,0,0,0,292,304,4,216,361,8,7,158,44,459
583,18,98,95,90,95,109,78,0,0,0,0,0,0,0,284,299,6,197,368,5,7,175,32,452
612,35,104,84,96,101,88,104,0,0,0,0,0,0,0,295,317,6,203,389,8,6,167,30,460
596,36,88,103,81,100,95,93,0,0,0,0,0,0,0,281,315,3,178,396,12,7,161,39,436
574,36,82,97,88,78,97,96,0,0,0,0,0,0,0,270,304,4,157,391,16,6,151,46,472
486,0,0,0,0,0,0,0,175,163,148,0,0,0,0,234,252,72,58,273,5,78,71,5,359
496,0,0,0,0,0,0,0,173,169,154,0,0,0,0,241,255,71,62,277,5,81,96,9,346
496,0,0,0,0,0,0,0,167,168,161,0,0,0,0,248,248,67,49,276,5,99,110,7,326
501,0,0,0,0,0,0,0,185,154,162,0,0,0,0,259,242,67,50,277,10,97,107,9,338
526,0,0,0,0,0,0,0,203,176,147,0,0,0,0,280,246,66,52,300,10,98,125,9,392
510,19,76,99,75,83,78,80,0,0,0,0,0,0,0,250,260,7,196,301,1,5,141,47,497
474,18,78,77,83,71,67,80,0,0,0,0,0,0,0,229,245,3,177,290,0,4,161,35,451
526,19,75,95,85,85,85,82,0,0,0,0,0,0,0,262,264,3,170,337,2,14,178,47,517
551,18,85,91,99,80,92,86,0,0,0,0,0,0,0,270,281,4,177,350,5,15,179,62,544
514,17,62,99,82,85,77,92,0,0,0,0,0,0,0,254,260,2,172,324,3,13,155,69,508
1035,70,133,202,182,168,144,136,0,0,0,0,0,0,0,544,491,287,87,588,23,50,148,240,793
1030,72,130,164,183,161,171,149,0,0,0,0,0,0,0,550,480,294,92,550,33,61,140,233,737
979,36,121,165,151,171,158,177,0,0,0,0,0,0,0,496,483,300,84,503,26,66,144,245,704
961,36,132,151,158,140,177,167,0,0,0,0,0,0,0,481,480,285,100,481,33,62,155,263,690
888,36,104,144,144,148,134,178,0,0,0,0,0,0,0,467,421,261,83,432,39,73,137,252,739
505,0,0,0,0,0,0,0,151,162,192,0,0,0,0,254,251,8,122,371,2,2,142,103,404
411,0,0,0,0,0,0,0,125,135,151,0,0,0,0,199,212,11,93,303,1,3,124,90,332
343,0,0,0,0,0,0,0,83,125,135,0,0,0,0,179,164,4,71,267,0,1,109,86,280
325,0,0,0,0,0,0,0,127,84,114,0,0,0,0,167,158,11,73,238,2,1,101,92,259
355,0,0,0,0,0,0,0,138,128,89,0,0,0,0,171,184,10,84,257,3,1,97,94,310
462,0,0,0,0,0,0,0,139,126,197,0,0,0,0,240,222,115,58,266,8,15,99,98,446
397,0,0,0,0,0,0,0,108,149,140,0,0,0,0,205,192,93,62,212,8,22,80,93,372
373,0,0,0,0,0,0,0,99,116,158,0,0,0,0,185,188,74,63,200,10,26,71,87,361
365,0,0,0,0,0,0,0,122,112,131,0,0,0,0,162,203,87,57,189,9,23,71,90,352
359,0,0,0,0,0,0,0,118,123,118,0,0,0,0,166,193,90,44,183,16,26,73,87,343
496,18,74,86,87,85,70,76,0,0,0,0,0,0,0,237,259,8,126,350,5,7,119,113,392
482,18,73,79,80,82,81,69,0,0,0,0,0,0,0,227,255,5,118,346,1,12,124,110,382
521,36,84,69,81,85,85,81,0,0,0,0,0,0,0,241,280,8,122,379,1,11,137,119,406
516,36,75,76,78,89,81,81,0,0,0,0,0,0,0,229,287,8,119,378,2,9,138,119,388
489,36,62,75,71,73,91,81,0,0,0,0,0,0,0,212,277,6,107,366,3,7,138,110,417
726,0,0,0,0,0,0,0,228,239,259,0,0,0,0,346,380,25,254,440,5,2,175,71,548
586,0,0,0,0,0,0,0,139,214,233,0,0,0,0,270,316,22,199,361,3,1,171,58,438
539,0,0,0,0,0,0,0,168,151,220,0,0,0,0,259,280,16,191,326,2,4,162,44,416
469,0,0,0,0,0,0,0,157,164,148,0,0,0,0,230,239,13,166,281,4,5,157,34,352
460,0,0,0,0,0,0,0,150,152,158,0,0,0,0,230,230,21,150,279,5,5,151,56,388
842,54,116,138,159,118,115,142,0,0,0,0,0,0,0,426,416,14,222,588,10,8,152,30,756
807,53,112,111,132,163,113,123,0,0,0,0,0,0,0,413,394,20,211,561,10,5,149,43,738
784,68,111,112,99,131,154,109,0,0,0,0,0,0,0,414,370,19,202,546,12,5,147,34,703
739,61,104,115,98,89,137,135,0,0,0,0,0,0,0,370,369,22,197,500,15,5,149,40,657
724,70,113,96,116,101,91,137,0,0,0,0,0,0,0,374,350,16,208,474,20,6,140,58,649
647,54,89,91,106,112,99,96,0,0,0,0,0,0,0,302,345,3,228,395,9,12,137,54,605
654,51,114,96,83,96,112,102,0,0,0,0,0,0,0,317,337,4,225,410,7,8,128,75,587
654,53,93,117,92,91,100,108,0,0,0,0,0,0,0,313,341,3,227,402,9,13,137,70,587
664,54,86,96,126,106,93,103,0,0,0,0,0,0,0,325,339,4,239,400,8,13,143,82,614
638,50,89,93,100,120,94,92,0,0,0,0,0,0,0,321,317,2,227,392,7,10,138,69,585
461,36,82,78,87,55,66,57,0,0,0,0,0,0,0,226,235,6,203,244,6,2,94,57,450
456,36,68,107,68,55,54,68,0,0,0,0,0,0,0,215,241,6,202,239,8,1,103,62,444
407,32,66,87,73,51,50,48,0,0,0,0,0,0,0,202,205,3,171,224,7,2,101,52,391
402,29,57,74,78,63,50,51,0,0,0,0,0,0,0,203,199,3,161,226,8,4,104,45,386
408,32,59,63,65,76,62,51,0,0,0,0,0,0,0,210,198,1,171,227,5,4,102,40,399
977,72,163,160,147,162,126,147,0,0,0,0,0,0,0,475,502,16,199,739,13,10,196,248,837
979,72,157,166,143,150,164,127,0,0,0,0,0,0,0,501,478,10,196,746,13,14,210,270,820
948,72,143,145,162,126,156,144,0,0,0,0,0,0,0,466,482,11,166,743,16,12,210,250,774
936,71,146,137,147,149,139,147,0,0,0,0,0,0,0,479,457,14,147,748,13,14,202,244,760
833,0,126,147,144,143,148,125,0,0,0,0,0,0,0,430,403,14,132,667,11,9,187,222,760
986,52,175,168,169,157,124,141,0,0,0,0,0,0,0,513,473,66,280,618,4,18,148,35,840
1000,54,179,154,179,161,160,113,0,0,0,0,0,0,0,512,488,84,275,619,4,18,148,45,865
1030,54,151,163,158,181,163,160,0,0,0,0,0,0,0,515,515,78,286,643,4,19,173,43,892
990,54,141,160,144,161,169,161,0,0,0,0,0,0,0,513,477,70,265,620,7,28,197,63,835
879,54,113,120,149,140,144,159,0,0,0,0,0,0,0,443,436,58,212,573,8,28,172,59,752
540,0,0,0,0,0,0,0,93,60,84,125,94,40,44,295,245,5,112,416,3,4,121,68,425
565,0,0,0,0,0,0,0,97,84,59,125,108,47,45,305,260,4,117,439,2,3,148,77,435
588,0,0,0,0,0,0,0,84,88,80,152,101,46,37,314,274,4,132,444,2,6,158,81,453
638,0,0,0,0,0,0,0,101,88,95,137,110,68,39,346,292,5,137,485,3,8,174,78,496
643,0,0,0,0,0,0,0,96,99,85,126,94,91,52,346,297,4,127,504,1,7,169,84,545
395,0,0,0,0,0,0,0,0,0,0,86,108,104,97,395,0,13,184,175,11,12,80,21,340
345,0,0,0,0,0,0,0,0,0,0,76,85,99,85,345,0,11,174,137,13,10,76,16,310
338,0,0,0,0,0,0,0,0,0,0,84,78,83,93,338,0,23,154,137,11,13,78,29,304
305,0,0,0,0,0,0,0,0,0,0,87,80,68,70,305,0,29,128,119,9,20,67,41,277
281,0,0,0,0,0,0,0,0,0,0,67,81,76,57,281,0,30,115,93,10,33,52,59,262
454,0,0,0,0,0,0,0,0,0,0,136,123,110,85,282,172,13,117,274,4,46,106,19,315
432,0,0,0,0,0,0,0,0,0,0,114,114,97,107,243,189,8,113,292,8,11,121,32,315
444,0,0,0,0,0,0,0,0,0,0,129,122,92,101,258,186,15,123,272,2,32,107,16,296
452,0,0,0,0,0,0,0,0,0,0,148,131,87,86,259,193,16,130,273,4,29,122,17,288
454,0,0,0,0,0,0,0,0,0,0,148,137,99,70,262,192,14,118,284,7,31,114,20,281
465,0,0,0,0,0,0,0,0,0,0,132,147,108,78,266,199,15,116,293,5,36,113,28,324
222,0,0,0,0,0,0,0,59,66,97,0,0,0,0,112,110,1,80,136,1,4,62,48,195
191,0,0,0,0,0,0,0,53,62,76,0,0,0,0,100,91,2,74,110,0,5,51,46,163
202,0,0,0,0,0,0,0,71,57,74,0,0,0,0,102,100,1,82,116,0,3,58,45,170
237,0,0,0,0,0,0,0,91,72,74,0,0,0,0,112,125,0,94,136,0,7,67,57,193
245,0,0,0,0,0,0,0,78,89,78,0,0,0,0,105,140,0,100,140,1,4,62,64,232
590,0,0,0,0,0,0,0,172,193,225,0,0,0,0,274,316,3,137,443,1,6,159,133,563
539,0,0,0,0,0,0,0,166,175,198,0,0,0,0,247,292,4,112,411,1,11,151,144,521
501,0,0,0,0,0,0,0,157,166,178,0,0,0,0,245,256,5,102,388,0,6,142,123,466
489,0,0,0,0,0,0,0,160,159,170,0,0,0,0,218,271,4,95,381,1,8,147,118,466
488,0,0,0,0,0,0,0,149,175,164,0,0,0,0,214,274,2,106,370,4,6,150,131,459
561,71,77,93,75,88,71,86,0,0,0,0,0,0,0,278,283,35,29,286,16,195,104,12,402
558,65,76,81,93,79,86,78,0,0,0,0,0,0,0,270,288,38,28,309,14,169,114,6,407
519,36,78,81,69,94,77,84,0,0,0,0,0,0,0,255,264,35,28,305,11,140,117,7,378
490,35,75,77,75,66,86,76,0,0,0,0,0,0,0,237,253,30,25,300,9,126,96,4,348
507,36,75,78,87,80,66,85,0,0,0,0,0,0,0,239,268,32,36,320,7,112,95,11,328
496,0,0,0,0,0,0,0,0,0,0,143,128,130,95,260,236,10,151,329,1,5,126,30,345
487,0,0,0,0,0,0,0,0,0,0,117,130,122,118,253,234,11,150,318,2,6,143,23,342
457,0,0,0,0,0,0,0,0,0,0,106,120,115,116,245,212,8,129,310,4,6,137,20,312
447,0,0,0,0,0,0,0,0,0,0,127,118,95,107,243,204,7,116,315,5,4,125,31,290
95,0,0,0,0,0,0,0,0,0,0,95,0,0,0,37,58,6,28,49,4,8,30,13,77
211,0,0,0,0,0,0,0,0,0,0,114,97,0,0,89,122,16,70,111,3,11,52,31,162
334,0,0,0,0,0,0,0,0,0,0,134,110,90,0,143,191,23,86,190,10,25,89,42,262
459,0,0,0,0,0,0,0,0,0,0,157,123,97,82,202,257,34,102,259,20,44,100,52,378
466,0,0,0,0,0,0,0,0,0,0,166,119,106,75,213,253,34,108,270,18,36,105,59,407
261,0,0,0,0,0,0,0,0,0,0,37,69,79,76,115,146,4,106,142,6,3,65,27,248
236,0,0,0,0,0,0,0,0,0,0,56,54,61,65,101,135,1,101,130,3,1,70,26,210
193,0,0,0,0,0,0,0,0,0,0,43,54,30,66,75,118,2,85,98,4,4,57,19,173
153,0,0,0,0,0,0,0,0,0,0,31,48,41,33,61,92,3,84,63,1,2,42,14,138
149,0,0,0,0,0,0,0,0,0,0,37,38,35,39,68,81,3,73,66,5,2,39,14,130
432,18,82,76,60,79,76,41,0,0,0,0,0,0,0,192,240,0,103,313,8,8,112,112,382
432,18,83,79,62,64,71,55,0,0,0,0,0,0,0,201,231,1,87,331,3,10,118,112,379
418,17,54,88,72,52,65,70,0,0,0,0,0,0,0,190,228,1,85,322,2,8,103,99,361
413,18,52,64,84,68,59,68,0,0,0,0,0,0,0,197,216,2,79,322,4,6,141,117,359
632,36,86,101,88,119,114,88,0,0,0,0,0,0,0,302,330,3,130,481,4,14,204,131,611
319,0,0,0,0,0,0,0,124,88,107,0,0,0,0,157,162,3,116,199,0,1,92,29,244
398,0,0,0,0,0,0,0,190,119,89,0,0,0,0,200,198,14,123,259,0,2,99,29,296
475,0,0,0,0,0,0,0,168,189,118,0,0,0,0,234,241,17,132,322,1,3,135,41,334
541,0,0,0,0,0,0,0,193,164,184,0,0,0,0,272,269,23,129,379,7,3,145,66,384
518,0,0,0,0,0,0,0,180,181,157,0,0,0,0,251,267,10,123,372,10,3,138,69,414
95,0,0,0,0,0,0,0,0,0,0,95,0,0,0,48,47,5,25,53,5,7,19,15,77
177,0,0,0,0,0,0,0,0,0,0,114,63,0,0,85,92,7,39,118,2,11,39,26,145
280,0,0,0,0,0,0,0,0,0,0,132,93,55,0,133,147,12,67,174,5,22,64,36,214
359,0,0,0,0,0,0,0,0,0,0,121,98,98,42,157,202,16,90,212,10,31,80,40,280
376,0,0,0,0,0,0,0,0,0,0,94,109,84,89,159,217,22,99,219,7,29,86,50,286
101,0,0,0,0,0,0,0,0,0,0,101,0,0,0,49,52,2,32,54,9,4,21,14,86
204,0,0,0,0,0,0,0,0,0,0,116,88,0,0,90,114,7,60,124,6,7,49,30,155
298,0,0,0,0,0,0,0,0,0,0,120,102,76,0,144,154,10,81,184,10,13,75,47,218
409,0,0,0,0,0,0,0,0,0,0,138,113,87,71,189,220,19,103,254,13,20,94,71,288
405,0,0,0,0,0,0,0,0,0,0,110,103,97,95,169,236,21,87,266,11,20,108,66,324
637,0,0,0,0,0,0,0,105,89,89,101,109,82,62,248,389,42,213,368,3,11,148,28,517
637,0,0,0,0,0,0,0,90,102,82,106,120,75,62,251,386,46,197,377,4,13,173,43,540
680,0,0,0,0,0,0,0,95,88,95,138,103,84,77,268,412,51,220,394,5,10,187,50,524
692,0,0,0,0,0,0,0,103,95,87,128,109,83,87,280,412,58,220,392,8,14,180,69,559
686,0,0,0,0,0,0,0,100,102,98,108,100,100,78,276,410,68,192,406,7,13,173,65,566
290,0,0,0,0,0,0,0,83,105,102,0,0,0,0,145,145,12,39,154,2,83,67,13,216
290,0,0,0,0,0,0,0,105,82,103,0,0,0,0,137,153,11,43,157,1,78,56,8,216
288,0,0,0,0,0,0,0,89,110,89,0,0,0,0,136,152,13,43,170,1,61,65,10,220
339,0,0,0,0,0,0,0,126,100,113,0,0,0,0,154,185,11,48,213,4,63,70,17,268
350,0,0,0,0,0,0,0,118,120,112,0,0,0,0,168,182,14,43,230,7,56,74,24,270
284,0,0,0,0,0,0,0,93,96,95,0,0,0,0,135,149,7,95,178,0,4,81,32,275
278,0,0,0,0,0,0,0,80,97,101,0,0,0,0,136,142,8,100,165,1,4,75,29,268
251,0,0,0,0,0,0,0,65,84,102,0,0,0,0,107,144,6,84,159,2,0,66,43,247
239,0,0,0,0,0,0,0,82,69,88,0,0,0,0,100,139,4,82,140,9,4,78,37,237
240,0,0,0,0,0,0,0,82,85,73,0,0,0,0,102,138,6,68,157,6,3,90,35,238
466,0,0,0,0,0,0,0,86,74,71,78,81,38,38,241,225,21,111,329,2,3,127,46,302
450,0,0,0,0,0,0,0,63,74,76,77,81,36,43,232,218,27,109,307,3,4,123,49,302
415,0,0,0,0,0,0,0,48,61,73,92,76,34,31,214,201,29,93,283,7,3,109,45,287
420,0,0,0,0,0,0,0,70,48,63,68,67,49,55,202,218,30,90,290,5,5,114,63,288
404,0,0,0,0,0,0,0,42,79,46,62,64,61,50,203,201,29,75,285,6,9,108,64,329
198,0,0,0,0,0,0,0,0,0,0,35,98,44,21,104,94,6,73,113,1,5,17,8,138
165,0,0,0,0,0,0,0,0,0,0,4,33,64,64,90,75,4,71,84,1,5,14,3,107
176,0,0,0,0,0,0,0,0,0,0,16,38,46,76,103,73,4,66,101,2,3,23,7,113
